id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
MR000001499,16.73,-9.63,235,MR,AIOUN ELATROUSS,,36.58163265,41.24081633,37.74489796,28.77234043
MR000061401,25.233,-11.617,360,MR,BIR MOGHREIN,,29.06190476,36.65454545,37.06470588,22.56666667
MR000061415,20.933,-17.033,3,MR,NOUADHIBOU,,27.52903226,28.690625,31.41428571,25.27941176
MR000061421,20.517,-13.067,224,MR,ATAR,,34.08529412,42.45666667,40.64375,27.88
MR000061450,18.567,-11.433,402,MR,TIDJIKJA,,35.37241379,41.67307692,38.88888889,27.8125
MR000061497,16.6,-7.267,269,MR,NEMA,,37.42916667,42.04705882,38.86470588,30.21666667
MRM00061404,22.75,-12.483,343,MR,ZOUERATE,,30.25,38.33529412,38.6,24.06923077
MRM00061492,16.16,-13.508,22.9,MR,KAEDI,,39.77222222,41.30625,36.79375,32.06153846
MT000016597,35.85,14.4831,91,MT,LUQA,,17.62075472,28.73396226,27.6509434,16.58541667
MU000041254,23.067,57.633,1755,MU,SAIQ,,21.58181818,31.04,26.77368421,17.28888889
MU000041288,20.667,58.9,19,MU,MASIRAH,,31.44333333,34.175,31.3516129,27.32083333
MUM00041241,26.167,56.233,29,MU,KHASAB AIRPORT,,31.79,40.6625,39.2,25.45
MUM00041242,25.617,56.25,10,MU,DIBA,,30.60909091,38.72727273,36.69285714,25.96153846
MUM00041244,24.233,55.783,299,MU,BURAIMI (AUT),,31.14705882,43.70714286,39.995,25.38666667
MUM00041246,24.467,56.633,4,MU,SOHAR MAJIS,,28.37419355,37.0875,34.79285714,25.79285714
MUM00041250,23.717,55.9,257,MU,SUNAYNAH,,34.3,45.33333333,42.3,24.6
MUM00041252,23.233,56.433,327,MU,IBRI,,33.62727273,44.6,40.54,26.95833333
MUM00041253,23.417,57.433,322,MU,RUSTAQ,,32.85714286,42.86,39.43636364,26.29090909
MUM00041255,22.867,57.55,462,MU,NIZWA,,34.325,42.525,39.58333333,27.00909091
MUM00041256,23.593,58.284,14.6,MU,SEEB INTL,,30.1826087,39.45769231,35.73846154,26.05454545
